Timestamp,Transcript
0:49:11,"Adding more notes in Note 1: ""March 2010 - President boat sank - suspected POK"""
0:49:14,User changed the topic: (User had a 7:35 break time) [break]
0:56:49,User changed the topic: (User continues work after the break) [bottom-up]
0:57:04,"Searching for ""Petra"""
0:57:04,"""Who is this"""
0:57:09,"Picking a document in title ""Jan 2014. WRAP UP OF EVENTS AT GASTECH"""
0:57:24,"Searching for ""Hohimae"""
0:57:37,"""It doesn't come up anywhere"""
0:57:49,Looking through titles
0:57:58,"Searching for ""Kapelou"""
0:58:14,"Picking a document in title ""June 2012. Kapelou Calls POK A Gang of Criminals"""
0:58:38,Still reading the document
0:58:56,"Adding more notes in Note 1: ""June, 2012 - Kapeloucalls POK criminals after riot in the capital"""
0:58:58,"""Let's see what this is all about. June 2012"""
0:59:02,Looking through titles
0:59:12,"Searching for ""Riot"""
0:59:15,User changed the topic: (Searching for riots and POK) [bottom-up]
0:59:17,"Picking a document in title ""June 2013. Annual POK Rally Ends in Riot"""
0:59:38,"""Yeah. after a year in Jun they all protest beause in June is when the she died"""
0:59:45,"Picking a document in title ""June 2012. Kapelou Calls POK A Gang of Criminals"""
0:59:58,"Adding more notes in Note 1: ""June 2013 - Annual POK protest ends in violence --- POK protests annually every June since 2009 because of Elian's death"""
1:00:48,"Picking a document in title ""June 2013. Annual ends of gathering of POK in the riot"""
1:00:52,"Picking a document in title ""Jun 2013. Annual ends of gathering of POK in the riot"""
1:01:12,"""More tear gas"""
1:01:40,"""They're protesting the governmet June 2013"""
1:01:44,Making connection between last two documents
1:01:48,"Making connection between last document and ""June 2013. Annual POK Rally Ends in Riot"""
1:01:58,"Searching for ""2012"""
1:02:06,"Picking a document in title ""Jun 2012. POK REMIND LEADER MARTYRED"""
1:02:31,Still reading the document
1:02:41,"Making connection between last document and “June 2012. Kapelou Calls POK A Gang of Criminals"""
1:02:44,"Picking a document in title ""March 2011. Peter Will Move US Troops In Middle East to Secure Areas"""
1:02:59,"Picking a document in title ""June 2011. POK Protesters Vandalize Siopa District"""
1:03:18,"Adding more notes to Note 1: ""3 Police leaders injured in POK annual protest"""
1:03:59,Looking through titles
1:04:14,"Picking a document in title "" March 2007. THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS"""
1:04:25,User changed the topic: (Searching for Gastech car accident) [bottom-up]
1:04:44,Still reading the document
1:05:02,"Adding more notes in Note 1: ""June 2011 - POK protest in downtown Abila, vandalism and looting"""
1:06:02,"Searching for ""2007"""
1:06:07,"Picking a document in title "" April 2007. TRAFFIC ACCIDENT NEAR ELODIS"""
1:06:21,"Making connection between last document and “March 2007. THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS"""
1:06:31,"Searching for ""Accident"""
1:06:46,"Picking a document in title ""May 2011. RELATED HALTINGS DRUG IN THE ASCENT"""
1:07:09,Still reading the document
1:07:19,"Adding more notes in Note 1: ""March 2007 - GasTech car runs into another car near Elodis, family of four dead, GasTech rep in jail overnight then released"""
1:07:40,Still reading the document
1:08:28,"Making connection between last document and “June 2011. POK Protesters Vandalize Siopa District"""
1:08:44,"Picking a document in title "" April 2005. Blog post: PROTESTS END IN ARRESTS"""
1:09:18,"Adding more notes in Note 1: ""May 2011 - Notes incraese in drug use in Abila, drugs finance operations of POK and cause violent tendencies"""
1:09:59,"Searching for ""Drug"""
1:10:04,"Picking a document in title "" Feb 2013. Hospitals of Abila that see the affluence of the designer drug users"""
1:10:33,"Searching for ""Potter"""
1:10:45,User changed the topic: (Explosions at Gastech site) [bottom-up]
1:10:57,"Searching for ""Caramel"""
1:11:04,"Picking a document in title ""Aug 2000. TISKELE BEND EXPLOSION AND FIRE"""
1:11:29,"Adding more notes in Note 1: ""August 2000, Explosion at GAStech plant"""
1:12:03,"Picking a document in title ""Explosion"""
1:12:14,"Picking a document in title ""Aug 2000. EXPLOSION AND FIRE OF THE TISKELE CURVE"""
1:12:17,"Picking a document in title "" Aug 2000. EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE"""
1:12:38,Still reading and comparing three documents
1:13:06,"Adding more notes in Note 1: ""August 2000, Explosion at GAStech plant, 4 injured, workplace accident"""
1:13:14,Making connections between last three documents about explosion
1:13:55,"Picking a document in title ""Oct 1997. GOVERNMENT ISCED MINOR CONTAMINATION CLOSE TO ELODIS"""
